,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
0,1,ACLBSL,967.00,18.00,1.90,977.40,977.40,954.00,470.00,949.00
1,2,ADBL,315.30,2.30,0.73,317.90,318.50,312.30,"41,552.00",313.00
2,3,ADBLD83,"1,051.90",-18.10,-1.69,"1,051.90","1,051.90","1,051.90",25.00,"1,070.00"
3,4,AHL,506.00,-9.00,-1.75,505.00,518.50,504.00,"14,648.00",515.00
4,5,AHPC,289.00,5.00,1.76,275.00,289.00,275.00,"83,890.00",284.00
5,6,AKJCL,417.80,15.80,3.93,402.00,420.00,402.00,"1,278,371.00",402.00
6,7,AKPL,277.80,3.30,1.20,275.00,278.80,271.00,"171,946.00",274.50
7,8,ALBSL,"1,123.00",8.00,0.72,"1,086.00","1,125.00","1,086.00","6,362.00","1,115.00"
8,9,ALICL,455.30,3.00,0.66,459.90,459.90,452.00,"7,840.00",452.30
9,10,ANLB,"5,996.00",95.00,1.61,"5,801.00","5,996.00","5,733.00",867.00,"5,901.00"
10,11,API,360.80,3.60,1.01,359.00,363.00,357.20,"429,359.00",357.20
11,12,AVYAN,"1,146.00",7.00,0.61,"1,082.10","1,159.00","1,082.10","4,714.00","1,139.00"
12,13,BANDIPUR,865.00,-10.90,-1.24,910.00,910.00,855.00,"56,430.00",875.90
13,14,BARUN,357.40,6.30,1.79,352.00,359.00,351.00,"34,727.00",351.10
14,15,BBC,"4,822.00",22.00,0.46,"4,818.90","4,832.90","4,766.10",182.00,"4,800.00"
15,16,BEDC,383.60,6.70,1.78,395.70,395.70,377.30,"39,932.00",376.90
16,17,BFC,462.40,4.40,0.96,464.00,469.00,460.10,"12,243.00",458.00
17,18,BGWT,666.40,5.40,0.82,665.00,674.00,665.00,"1,017.00",661.00
18,19,BHCL,596.00,30.00,5.30,566.00,604.90,566.00,"108,733.00",566.00
19,20,BHDC,478.10,14.50,3.13,461.20,480.00,461.20,"40,973.00",463.60
20,21,BHL,228.70,2.70,1.19,237.00,237.00,225.00,"161,537.00",226.00
21,22,BHPL,533.20,3.40,0.64,530.10,537.80,530.00,"4,458.00",529.80
