month,companyId,symbol,name,sector,priceChange,isListed,fiscalYearBS
Jestha,11,EBL,Everest Bank Limited,Commercial Banks,0.03,True,2079/2080
Jestha,37,SBI,Nepal SBI Bank Limited,Commercial Banks,1.63,True,2079/2080
Jestha,46,SANIMA,Sanima Bank Limited,Commercial Banks,0.91,True,2079/2080
Jestha,50,SCB,Standard Chartered Bank Limited,Commercial Banks,0.49,True,2079/2080
Jestha,62,GBBL,Garima Bikas Bank Limited,Development Banks,0.48,True,2079/2080
Jestha,84,MNBBL,Muktinath Bikas Bank Ltd.,Development Banks,0.21,True,2079/2080
Jestha,100,SHINE,Shine Resunga Development Bank Ltd.,Development Banks,-0.22,True,2079/2080
Jestha,210,NIL,Neco Insurance Co. Ltd.,Non Life Insurance,0.99,True,2079/2080
Jestha,211,NICL,Nepal Insurance Co. Ltd.,Non Life Insurance,1.02,True,2079/2080
Jestha,225,SICL,Shikhar Insurance Co. Ltd.,Non Life Insurance,0.18,True,2079/2080
Jestha,229,UIC,United Insurance Co. (Nepal) Ltd.,Non Life Insurance,-0.75,False,2079/2080
Jestha,873,SALICO,Sagarmatha Lumbini Insurance Company Limited,Non Life Insurance,0.68,True,2079/2080
Jestha,247,LICN,Life Insurance Corporation (Nepal) Limited,Life Insurance,-0.72,True,2079/2080
Jestha,249,NLICL,National Life Insurance Co. Ltd.,Life Insurance,0.2,True,2079/2080
Jestha,251,NLIC,Nepal Life Insurance Co. Ltd.,Life Insurance,0.1,True,2079/2080
Jestha,611,MEN,Mountain Energy Nepal Limited,Hydro Power,-0.33,True,2079/2080
Jestha,760,SAHAS,Sahas Urja Ltd.,Hydro Power,0.76,True,2079/2080
Jestha,832,PHCL,Peoples Hydropower Company Limited,Hydro Power,0.06,True,2079/2080
Jestha,236,BNT,Bottlers Nepal (Terai) Limited,Manufacturing and Processing,-1.77,True,2079/2080
Jestha,238,HDL,Himalayan Distillery Limited,Manufacturing and Processing,0.59,True,2079/2080
Jestha,189,NEF,Nabil Equity Fund,Mutual Fund,0.2,True,2079/2080
Jestha,194,NMBHF1,NMB Hybrid Fund L-1,Mutual Fund,-1.4,True,2079/2080
Chaitra,11,EBL,Everest Bank Limited,Commercial Banks,0.03,True,2082/2083
Chaitra,13,GBIME,Global IME Bank Limited,Commercial Banks,0.68,True,2082/2083
Chaitra,27,NABIL,Nabil Bank Limited,Commercial Banks,0.4,True,2082/2083
Chaitra,44,PCBL,Prime Commercial Bank Limited,Commercial Banks,0.63,True,2082/2083
Chaitra,46,SANIMA,Sanima Bank Limited,Commercial Banks,0.91,True,2082/2083
Chaitra,50,SCB,Standard Chartered Bank Limited,Commercial Banks,0.49,True,2082/2083
Chaitra,62,GBBL,Garima Bikas Bank Limited,Development Banks,0.48,True,2082/2083
Chaitra,70,KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks,-0.39,True,2082/2083
Chaitra,1095,SABBL,Salapa Bikas Bank Limited,Development Banks,2.17,True,2082/2083
Chaitra,265,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,0.22,True,2082/2083
Chaitra,285,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Microfinance,0.11,True,2082/2083
Chaitra,1050,SWASTIK,Swastik Laghubita Bittiya Sanstha Limited,Microfinance,1.6,True,2082/2083
Chaitra,826,HEI,Himalayan Everest Insurance Limited,Non Life Insurance,0.77,True,2082/2083
Chaitra,873,SALICO,Sagarmatha Lumbini Insurance Company Limited,Non Life Insurance,0.68,True,2082/2083
Chaitra,876,SPIL,Siddhartha Premier Insurance Company Limited,Non Life Insurance,1.26,True,2082/2083
Chaitra,249,NLICL,National Life Insurance Co. Ltd.,Life Insurance,0.2,True,2082/2083
Chaitra,846,SJLIC,Suryajyoti Life Insurance Company Limited,Life Insurance,-0.46,True,2082/2083
Chaitra,152,API,Api Power Company Ltd.,Hydro Power,0.79,True,2082/2083
Chaitra,169,NGPL,Ngadi Group Power Ltd.,Hydro Power,1.01,True,2082/2083
Chaitra,176,SHPC,Sanima Mai Hydropower Ltd.,Hydro Power,0.13,True,2082/2083
Chaitra,178,SPDL,Synergy Power Development Ltd.,Hydro Power,-0.15,True,2082/2083
Chaitra,180,UMHL,United Modi Hydropower Ltd.,Hydro Power,-0.35,True,2082/2083
Chaitra,611,MEN,Mountain Energy Nepal Limited,Hydro Power,-0.33,True,2082/2083
Chaitra,617,UMRH,United IDI Mardi and RB Hydropower Ltd,Hydro Power,0.57,True,2082/2083
Chaitra,760,SAHAS,Sahas Urja Ltd.,Hydro Power,0.76,True,2082/2083
Chaitra,788,RFPL,River Falls Power Limited,Hydro Power,1.13,True,2082/2083
Chaitra,853,TAMOR,Sanima Middle Tamor Hydropower,Hydro Power,1.34,True,2082/2083
Chaitra,856,MAKAR,Makar Jitumaya Suri Hydropower Limited,Hydro Power,1.94,True,2082/2083
Chaitra,938,SIPD,Shikhar Power Development Limited,Hydro Power,2.0,True,2082/2083
Chaitra,993,HIMSTAR,Him Star Urja Company Limited,Hydro Power,4.32,True,2082/2083
Chaitra,994,DHEL,Daramkhola Hydro Energy Limited,Hydro Power,6.05,True,2082/2083
Chaitra,995,BJHL,Bhujung Hydropower Limited,Hydro Power,3.03,True,2082/2083
Chaitra,996,SANVI,Sanvi Energy Limited,Hydro Power,4.69,True,2082/2083
Chaitra,1000,MABEL,Mabilung Energy Limited,Hydro Power,9.35,True,2082/2083
Chaitra,1001,SOHL,Solu Hydropower Limited,Hydro Power,0.44,True,2082/2083
Chaitra,1003,BHCL,Bikash Hydropower Company Limited,Hydro Power,6.39,True,2082/2083
Chaitra,1004,RLEL,Ridge Line Energy Limited,Hydro Power,2.79,True,2082/2083
Chaitra,1009,BUNGAL,Bungal Hydro Limited,Hydro Power,9.12,True,2082/2083
Chaitra,1016,SKHL,Super Khudi Hydropower Limited,Hydro Power,6.74,True,2082/2083
Chaitra,1023,SKHEL,Suryakunda Hydro Electric Limited,Hydro Power,1.91,True,2082/2083
Chaitra,149,SHL,Soaltee Hotel Limited,Hotels and Tourism,0.22,True,2082/2083
Chaitra,986,HFIN,Hotel Forest Inn Limited,Hotels and Tourism,4.17,True,2082/2083
Chaitra,989,BANDIPUR,Bandipur Cable Car and Tourism Limited,Hotels and Tourism,1.85,True,2082/2083
Chaitra,238,HDL,Himalayan Distillery Limited,Manufacturing and Processing,0.59,True,2082/2083
Chaitra,242,UNL,Unilever Nepal Limited,Manufacturing and Processing,0.92,True,2082/2083
Chaitra,1035,SYPNL,SY Panel Nepal Limited,Manufacturing and Processing,1.54,True,2082/2083
Chaitra,1040,PCIL,Palpa Cement Industries Limited,Manufacturing and Processing,1.85,True,2082/2083
Chaitra,1047,SAGAR,Sagar Distillery Limited,Manufacturing and Processing,2.51,True,2082/2083
Chaitra,1089,SAIL,Shreenagar Agritech Industries Limited,Manufacturing and Processing,2.29,True,2082/2083
Chaitra,231,CIT,Citizen Investment Trust,Investment,0.03,True,2082/2083
Chaitra,572,NRN,NRN Infrastructure and Development Limited,Investment,1.75,True,2082/2083
Chaitra,891,TTL,Trade Tower Ltd.,Others,4.52,True,2082/2083
Chaitra,945,HRL,Himalayan Re-Insurance Limited,Others,0.22,True,2082/2083
Chaitra,1022,JHAPA,Jhapa Energy Limited,Others,6.69,True,2082/2083
Chaitra,764,MMF1,Mega Mutual Fund - 1,Mutual Fund,1.16,True,2082/2083
Chaitra,878,SIGS3,Siddhartha Investment Growth Scheme-3,Mutual Fund,0.93,True,2082/2083
Chaitra,949,NICGF2,NIC Asia Growth Fund-2,Mutual Fund,-0.92,True,2082/2083
Chaitra,954,NIBLSTF,NIBL Stable Fund,Mutual Fund,-0.21,True,2082/2083
Chaitra,982,MNMF1,Muktinath Mutual Fund 1,Mutual Fund,0.0,True,2082/2083
Baisakh,13,GBIME,Global IME Bank Limited,Commercial Banks,0.68,True,2081/2082
Baisakh,27,NABIL,Nabil Bank Limited,Commercial Banks,0.4,True,2081/2082
Baisakh,37,SBI,Nepal SBI Bank Limited,Commercial Banks,1.63,True,2081/2082
Baisakh,40,NMB,NMB Bank Limited,Commercial Banks,1.06,True,2081/2082
Baisakh,46,SANIMA,Sanima Bank Limited,Commercial Banks,0.91,True,2081/2082
Baisakh,50,SCB,Standard Chartered Bank Limited,Commercial Banks,0.49,True,2081/2082
Baisakh,922,LSL,Laxmi Sunrise Bank Limited,Commercial Banks,1.3,True,2081/2082
Baisakh,62,GBBL,Garima Bikas Bank Limited,Development Banks,0.48,True,2081/2082
Baisakh,70,KSBBL,Kamana Sewa Bikas Bank Limited,Development Banks,-0.39,True,2081/2082
Baisakh,84,MNBBL,Muktinath Bikas Bank Ltd.,Development Banks,0.21,True,2081/2082
Baisakh,265,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Microfinance,0.22,True,2081/2082
