Particulars,Amount,"M-to-M%, Change",time,cid
Total Assets,"828,773,634.00",0.06%,As of Chaitra 2082,885
Total  Liabilities,"17,296,691.00",31.81%,As of Chaitra 2082,885
Net Assets,"825,276,302.00",0.08%,As of Chaitra 2082,885
Net Assets Value per Share,10.99,0.09%,As of Chaitra 2082,885
Expenses & Fees,"11,005,744.00",13.04%,As of Chaitra 2082,885
"Net, Income/(Expenses)","74,507,950.00",0.91%,As of Chaitra 2082,885
Total Assets,"591,683,132.00",0.82%,As of Chaitra 2082,184
Total  Liabilities,"832,249.00",7.26%,As of Chaitra 2082,184
Net Assets,"589,181,714.00",0.97%,As of Chaitra 2082,184
Net Assets Value per Share,10.52,0.94%,As of Chaitra 2082,184
Expenses & Fees,"7,865,190.00",13.34%,As of Chaitra 2082,184
"Net, Income/(Expenses)","8,655,499.00",39.94%,As of Chaitra 2082,184
Total Assets,"1,257,454,245.00",0.72%,As of Chaitra 2082,1096
Total  Liabilities,"55,090,542.00",92.17%,As of Chaitra 2082,1096
Net Assets,"1,252,369,334.00",0.85%,As of Chaitra 2082,1096
Net Assets Value per Share,10.02,0.89%,As of Chaitra 2082,1096
Expenses & Fees,"10,731,222.00",1.74%,As of Chaitra 2082,1096
"Net, Income/(Expenses)","2,369,334.00",81.98%,As of Chaitra 2082,1096
Total Assets,"1,575,406,881.00",0.72%,As of Chaitra 2082,1092
Total  Liabilities,"75,241.00",12.43%,As of Chaitra 2082,1092
Net Assets,"1,568,619,230.00",0.58%,As of Chaitra 2082,1092
Net Assets Value per Share,10.46,0.58%,As of Chaitra 2082,1092
Expenses & Fees,"19,955,251.00",13.17%,As of Chaitra 2082,1092
"Net, Income/(Expenses)","73,368,627.00",13.97%,As of Chaitra 2082,1092
Total Assets,"1,272,550,144.00",0.10%,As of Chaitra 2082,815
Total  Liabilities,"6,182,035.00","9,140.57%",As of Chaitra 2082,815
Net Assets,"1,267,065,356.00",0.25%,As of Chaitra 2082,815
Net Assets Value per Share,12.35,0.24%,As of Chaitra 2082,815
Expenses & Fees,"16,868,910.00",13.01%,As of Chaitra 2082,815
"Net, Income/(Expenses)","63,505,574.00",4.71%,As of Chaitra 2082,815
Total Assets,"1,366,884,095.59",0.45%,As of Chaitra 2082,1049
Total  Liabilities,"19,797,923.20",737.29%,As of Chaitra 2082,1049
Net Assets,"1,360,734,677.86",0.30%,As of Chaitra 2082,1049
Net Assets Value per Share,10.89,0.37%,As of Chaitra 2082,1049
Expenses & Fees,"25,440,698.67",14.19%,As of Chaitra 2082,1049
"Net, Income/(Expenses)","110,631,237.55",4.04%,As of Chaitra 2082,1049
Total Assets,"1,264,456,876.02",1.28%,As of Chaitra 2082,935
Total  Liabilities,"41,359.54",99.35%,As of Chaitra 2082,935
Net Assets,"1,262,531,352.53",1.43%,As of Chaitra 2082,935
Net Assets Value per Share,12.63,1.41%,As of Chaitra 2082,935
Expenses & Fees,"18,603,683.76",11.72%,As of Chaitra 2082,935
"Net, Income/(Expenses)","99,403,742.80",15.59%,As of Chaitra 2082,935
Total Assets,"4,680,573,477.00",3.19%,As of Chaitra 2082,1091
Total  Liabilities,"445,195.00",16.68%,As of Chaitra 2082,1091
Net Assets,"4,660,223,338.00",3.34%,As of Chaitra 2082,1091
Net Assets Value per Share,9.32,3.32%,As of Chaitra 2082,1091
Expenses & Fees,"58,126,748.00",13.51%,As of Chaitra 2082,1091
"Net, Income/(Expenses)","339,776,661.00",-,As of Chaitra 2082,1091
Total Assets,"1,579,375,916.65",6.54%,As of Chaitra 2082,797
Total  Liabilities,"131,342.48",98.07%,As of Chaitra 2082,797
Net Assets,"1,577,011,667.71",6.34%,As of Chaitra 2082,797
Net Assets Value per Share,12.87,6.33%,As of Chaitra 2082,797
Expenses & Fees,"23,150,934.11",12.98%,As of Chaitra 2082,797
"Net, Income/(Expenses)","230,147,422.10",31.68%,As of Chaitra 2082,797
Total Assets,"1,203,279,525.52",6.63%,As of Chaitra 2082,729
Total  Liabilities,"1,618,059.88","1,133.69%",As of Chaitra 2082,729
Net Assets,"1,201,464,893.82",6.43%,As of Chaitra 2082,729
Net Assets Value per Share,12.01,6.46%,As of Chaitra 2082,729
Expenses & Fees,"16,972,720.95",12.88%,As of Chaitra 2082,729
"Net, Income/(Expenses)","172,844,153.94",32.33%,As of Chaitra 2082,729
Total Assets,"786,322,437.89",2.98%,As of Chaitra 2082,956
Total  Liabilities,"1,857,783.18","1,501.78%",As of Chaitra 2082,956
Net Assets,"785,134,263.16",2.71%,As of Chaitra 2082,956
Net Assets Value per Share,10.54,2.77%,As of Chaitra 2082,956
Expenses & Fees,"13,038,315.44",11.16%,As of Chaitra 2082,956
"Net, Income/(Expenses)","6,904,163.99",76.02%,As of Chaitra 2082,956
Total Assets,"678,999,697.56",-,As of Chaitra 2082,598
Total  Liabilities,"307,367.52",-,As of Chaitra 2082,598
Net Assets,"678,019,333.62",-,As of Chaitra 2082,598
Net Assets Value per Share,10.39,-,As of Chaitra 2082,598
Expenses & Fees,"10,406,161.97",-,As of Chaitra 2082,598
"Net, Income/(Expenses)","23,064,388.45",-,As of Chaitra 2082,598
Total Assets,"827,702,786.54",2.47%,As of Chaitra 2082,923
Total  Liabilities,"325,259.45",91.32%,As of Chaitra 2082,923
Net Assets,"826,507,719.78",2.61%,As of Chaitra 2082,923
Net Assets Value per Share,10.33,2.64%,As of Chaitra 2082,923
Expenses & Fees,"12,801,717.70",11.05%,As of Chaitra 2082,923
"Net, Income/(Expenses)","24,726,721.00",47.21%,As of Chaitra 2082,923
Total Assets,"1,340,511,148.35",3.17%,As of Chaitra 2082,1070
Total  Liabilities,"98,976.29",182.42%,As of Chaitra 2082,1070
Net Assets,"1,338,569,487.96",2.91%,As of Chaitra 2082,1070
Net Assets Value per Share,11.01,2.91%,As of Chaitra 2082,1070
Expenses & Fees,"21,294,985.18",10.80%,As of Chaitra 2082,1070
"Net, Income/(Expenses)","69,040,800.44",36.75%,As of Chaitra 2082,1070
Total Assets,"1,214,579,623.00",3.06%,As of Chaitra 2082,764
Total  Liabilities,"245,550,828.00",0.78%,As of Chaitra 2082,764
Net Assets,"1,212,722,814.00",2.80%,As of Chaitra 2082,764
Net Assets Value per Share,9.70,2.81%,As of Chaitra 2082,764
Expenses & Fees,"18,504,278.00",11.77%,As of Chaitra 2082,764
"Net, Income/(Expenses)","91,441,022.00",-,As of Chaitra 2082,764
Total Assets,"1,321,257,337.00",3.79%,As of Chaitra 2082,982
Total  Liabilities,"95,415.69",98.97%,As of Chaitra 2082,982
Net Assets,"1,319,265,496.32",3.79%,As of Chaitra 2082,982
Net Assets Value per Share,10.55,3.83%,As of Chaitra 2082,982
Expenses & Fees,"19,330,596.31",11.69%,As of Chaitra 2082,982
"Net, Income/(Expenses)","43,793,801.51",54.29%,As of Chaitra 2082,982
Total Assets,"1,213,349,811.00",0.27%,As of Chaitra 2082,188
Total  Liabilities,"2,657,164.00","4,861.10%",As of Chaitra 2082,188
Net Assets,"1,208,349,772.00",0.41%,As of Chaitra 2082,188
Net Assets Value per Share,10.79,0.37%,As of Chaitra 2082,188
Expenses & Fees,"17,105,212.00",14.24%,As of Chaitra 2082,188
"Net, Income/(Expenses)","14,815,421.00",25.13%,As of Chaitra 2082,188
Total Assets,"1,352,836,559.00",0.36%,As of Chaitra 2082,768
Total  Liabilities,"105,318.00",51.92%,As of Chaitra 2082,768
Net Assets,"1,347,316,723.00",0.22%,As of Chaitra 2082,768
Net Assets Value per Share,10.78,0.19%,As of Chaitra 2082,768
Expenses & Fees,"19,209,178.00",13.30%,As of Chaitra 2082,768
"Net, Income/(Expenses)","42,225,781.00",7.41%,As of Chaitra 2082,768
Total Assets,"1,314,396,385.00",-,As of Chaitra 2082,849
Total  Liabilities,"27,683,282.00",-,As of Chaitra 2082,849
Net Assets,"1,312,364,653.00",-,As of Chaitra 2082,849
Net Assets Value per Share,9.94,-,As of Chaitra 2082,849
Expenses & Fees,"20,654,270.00",-,As of Chaitra 2082,849
"Net, Income/(Expenses)","12,314,632.00",-,As of Chaitra 2082,849
Total Assets,"1,102,165,680.00",3.28%,As of Chaitra 2082,954
Total  Liabilities,"408,173.00",82.45%,As of Chaitra 2082,954
Net Assets,"1,100,462,004.00",3.01%,As of Chaitra 2082,954
Net Assets Value per Share,9.74,2.99%,As of Chaitra 2082,954
Expenses & Fees,"17,550,266.00",11.28%,As of Chaitra 2082,954
"Net, Income/(Expenses)","61,674,021.00",-,As of Chaitra 2082,954
Total Assets,"1,482,834,085.00",2.59%,As of Chaitra 2082,728
Total  Liabilities,"1,642,528.00",59.42%,As of Chaitra 2082,728
Net Assets,"1,480,541,989.00",2.31%,As of Chaitra 2082,728
Net Assets Value per Share,9.87,2.28%,As of Chaitra 2082,728
Expenses & Fees,"23,186,096.00",11.44%,As of Chaitra 2082,728
"Net, Income/(Expenses)","21,315,348.00",256.17%,As of Chaitra 2082,728
Total Assets,"773,914,869.00",1.37%,As of Chaitra 2082,192
Total  Liabilities,"149,737.00",93.75%,As of Chaitra 2082,192
Net Assets,"772,731,733.00",1.37%,As of Chaitra 2082,192
Net Assets Value per Share,10.23,1.45%,As of Chaitra 2082,192
Expenses & Fees,"13,612,493.00",10.19%,As of Chaitra 2082,192
"Net, Income/(Expenses)","17,649,657.00",37.90%,As of Chaitra 2082,192
Total Assets,"1,060,892,673.00",1.27%,As of Chaitra 2082,798
Total  Liabilities,"3,169,337.00",95.71%,As of Chaitra 2082,798
Net Assets,"1,059,323,133.00",1.27%,As of Chaitra 2082,798
Net Assets Value per Share,10.39,1.24%,As of Chaitra 2082,798
Expenses & Fees,"16,764,504.00",13.12%,As of Chaitra 2082,798
"Net, Income/(Expenses)","39,211,792.00",25.78%,As of Chaitra 2082,798
Total Assets,"929,895,278.00",1.97%,As of Chaitra 2082,949
