By Asset Class,Amount,% of Total Assets,cid
Equity Stocks,"635,630.54",76.70%,885
Bonds & Debentures,-,-,885
IPO/FPO/Rights/Bonus,-,-,885
Banks Fixed Deposits,"40,000.00",4.83%,885
Cash & Others,"153,143.09",18.48%,885
Equity Stocks,"468,503.42",79.18%,184
Bonds & Debentures,-,-,184
IPO/FPO/Rights/Bonus,-,-,184
Banks Fixed Deposits,-,-,184
Cash & Others,"123,179.71",20.82%,184
Equity Stocks,"780,749.03",62.09%,1096
Bonds & Debentures,241.49,0.02%,1096
IPO/FPO/Rights/Bonus,-,-,1096
Banks Fixed Deposits,-,-,1096
Cash & Others,"476,463.72",37.89%,1096
Equity Stocks,"1,289,931.85",81.88%,1092
Bonds & Debentures,604.82,0.04%,1092
IPO/FPO/Rights/Bonus,-,-,1092
Banks Fixed Deposits,-,-,1092
Cash & Others,"284,870.22",18.08%,1092
Equity Stocks,"1,119,509.47",87.97%,815
Bonds & Debentures,"48,474.61",3.81%,815
IPO/FPO/Rights/Bonus,-,-,815
Banks Fixed Deposits,-,-,815
Cash & Others,"104,566.07",8.22%,815
Equity Stocks,"1,181,570.37",86.44%,1049
Bonds & Debentures,"2,997.00",0.22%,1049
IPO/FPO/Rights/Bonus,"7,937.45",0.58%,1049
Banks Fixed Deposits,"30,000.00",2.19%,1049
Cash & Others,"144,379.28",10.56%,1049
Equity Stocks,"763,970.17",60.42%,935
Bonds & Debentures,"91,784.24",7.26%,935
IPO/FPO/Rights/Bonus,"13,899.45",1.10%,935
Banks Fixed Deposits,"115,000.00",9.09%,935
Cash & Others,"279,803.01",22.13%,935
Equity Stocks,"2,066,720.02",44.16%,1091
Bonds & Debentures,"728,680.81",15.57%,1091
IPO/FPO/Rights/Bonus,-,-,1091
Banks Fixed Deposits,-,-,1091
Cash & Others,"1,885,172.65",40.28%,1091
Equity Stocks,"1,379,834.12",87.37%,797
Bonds & Debentures,"107,074.54",6.78%,797
IPO/FPO/Rights/Bonus,"5,338.50",0.34%,797
Banks Fixed Deposits,-,-,797
Cash & Others,"87,128.76",5.52%,797
Equity Stocks,"965,153.38",80.21%,729
Bonds & Debentures,"158,706.82",13.19%,729
IPO/FPO/Rights/Bonus,"4,340.29",0.36%,729
Banks Fixed Deposits,-,-,729
Cash & Others,"75,079.04",6.24%,729
Equity Stocks,"715,734.50",91.02%,956
Bonds & Debentures,"5,444.73",0.69%,956
IPO/FPO/Rights/Bonus,"2,236.98",0.28%,956
Banks Fixed Deposits,-,-,956
Cash & Others,"62,906.24",8.00%,956
