Mutual Fund Name,Fund Manager / Depository,Sponsor,Fund Size,Type,Launch Date,Maturity Date,Period,Price per Unit,Total Units,cid
C30MF,Citizens Capital Limited,Citizens Bank International Ltd.,"NPR 750,723,900",Close-End Scheme,2079-12-08 BS,2090-02-01 BS,10 yrs,NPR 10.00,"75,072,390 units",885
CMF2,Citizens Capital Limited,Citizens International Bank Limited,"NPR 560,000,000",Close-End,2076-01-06 BS,2083-03-24 BS,7 yrs,NPR 7.00,"56,000,000 units",184
CSY,Citizens Capital Limited,Citizens Bank International Limited,"NPR 1,250,000,000",Close End Scheme,2092-10-04 BS,2092-08-09 BS,10 yrs,NPR 10.00,"125,000,000 units",1096
GBIMESY2,Global IME Capital Limited,Global IME Bank Limited,"NPR 1,500,000,000",Close Ended,2082-02-02 BS,2092-03-22 BS,10 yrs,NPR 10.00,"150,000,000 units",1092
GIBF1,Global IME Capital Limited,Global IME Bank Ltd.,"NPR 1,025,763,600",Close-Ended,2079-02-04 BS,2089-03-22 BS,10 yrs,NPR 10.00,"102,576,360 units",815
GSY,Garima Capital Limited,Garima Bikas Bank Ltd.,"NPR 1,250,000,000",Close-Ended,2081-08-05 BS,2091-09-03 BS,10 yrs,NPR 10.00,"125,000,000 units",1049
H8020,Himalayan Capital Limited,Himalayan Bank Limited,"NPR 1,000,000,000",Close-ended,2080-04-23 BS,2090-06-15 BS,10 yrs,NPR 10.00,"100,000,000 units",935
HLICF,Himalayan Investment Banker Limited,Himalayan Life Insurance Limited,"NPR 5,000,000,000",Closed End Scheme,2082-04-22 BS,2092-05-29 BS,10 yrs,NPR 10.00,"500,000,000 units",1091
KDBY,Kumari Capital Limited,Kumari Bank Limited,"NPR 1,225,072,590",Close-End,2079-01-22 BS,2089-04-10 BS,10 yrs,NPR 10.00,"122,507,259 units",797
KEF,Kumari Capital Limited,Kumari Bank Limited,"NPR 1,000,000,000",Close-End,2077-11-03 BS,2087-12-03 BS,10 yrs,NPR 10.00,"100,000,000 units",729
KSY,Kumari Capital Limited,Kumari Bank Limited,"NPR 744,750,700",Close-Ended,2080-09-01 BS,2090-12-05 BS,10 yrs,NPR 10.00,"74,475,070 units",956
LUK,Laxmi Capital Market Limited,Laxmi Bank Limited,"NPR 652,623,600",Close-End,2076-11-20 BS,2087-04-29 BS,10 yrs,NPR 10.00,"65,262,360 units",598
LVF2,LS Capital,Laxmi Sunrise Bank Limited,"NPR 800,000,000",Close-End,2080-02-08 BS,2090-05-18 BS,10 yrs,NPR 10.00,"80,000,000 units",923
MBLEF,Machhapuchchhre Capital Limited,Machhapuchchhre Bank Limited,"NPR 1,216,253,300",Close-End Scheme,2081-10-20 BS,2093-12-13 BS,12 yrs,NPR 10.00,"121,625,330 units",1070
MMF1,NIMB Ace Capital Limited,Nepal Investment Mega Bank Limited,"NPR 1,250,000,000",Close-Ended,2078-04-28 BS,2088-05-22 BS,10 yrs,NPR 10.00,"125,000,000 units",764
MNMF1,Muktinath Capital Limited,Muktinath Bikash Bank Ltd.,"NPR 1,250,000,000",Close- End Scheme,2081-07-07 BS,2091-09-03 BS,10 yrs,NPR 10.00,"125,000,000 units",982
NBF2,Nabil Investment Banking Limited,Nabil bank Limited,"NPR 1,120,000,000",Close-Ended,2075-12-10 BS,2086-02-18 BS,10 yrs,NPR 10.00,"112,000,000 units",188
NBF3,Nabil Investment Banking Limited,Nabil Bank Limited,"NPR 1,250,000,000",Close-End,2078-04-29 BS,2088-06-07 BS,10 yrs,NPR 10.00,"125,000,000 units",768
NIBLGF,NIMB Ace Capital Limited,NIMB Investment Mega Bank Limited,"NPR 1,320,000,000",Close-Ended,2079-08-18 BS,2089-10-04 BS,10 yrs,NPR 10.00,"132,000,000 units",849
NIBLSTF,NIMB Ace Capital Limited,Nepal Investment Mega Bank Ltd.,"NPR 1,130,000,000",Close-Ended,2080-03-22 BS,2092-10-24 BS,12 yrs,NPR 10.00,"113,000,000 units",954
NIBSF2,NIMB Ace Capital Limited,Nepal Investment Mega Bank Ltd.,"NPR 1,500,000,000",Close- Ended,2078-01-03 BS,2088-02-15 BS,10 yrs,NPR 10.00,"150,000,000 units",728
NICBF,NIC Asia Capital Limited,NIC Asia Bank Limited,"NPR 755,000,000",Close-End,2076-03-25 BS,2086-05-11 BS,10 yrs,NPR 10.00,"75,500,000 units",192
NICFC,NIC Asia Capital Limited,NIC Asia Bank Limited,"NPR 102,000,000",Close-End Scheme,2079-01-29 BS,2086-03-01 BS,7 yrs,NPR 10.00,"102,000,000 units",798
NICGF2,NIC Asia Capital Limited,NIC Asia Bank Limited,"NPR 905,000,000",Close Ended,2080-06-12 BS,2087-08-04 BS,7 yrs,NPR 10.00,"90,500,000 units",949
NICSF,NIC Asia Capital Limited,NIC Asia Bank Ltd,"NPR 1,250,000,000",Close-End Scheme,2078-01-31 BS,2085-04-08 BS,7 yrs,NPR 10.00,"125,000,000 units",735
NMB50,NMB Capital Limited,NMB Bank LImited,"NPR 1,250,000,000",Close-Ended,2076-02-29 BS,2083-05-16 BS,7 yrs,NPR 10.00,"125,000,000 units",597
NMBHF2,NMB Capital Limited,NMB Bank Limited,"NPR 1,364,840,000",Close-End-Scheme,2081-09-02 BS,2091-11-14 BS,10 yrs,NPR 10.00,"136,484,000 units",1066
NSIF2,NMB Capital Limited,NMB Bank Limited,"NPR 1,200,000,000",Close-Ended,2079-04-05 BS,2089-05-16 BS,10 yrs,NPR 10.00,"120,000,000 units",824
NSY,Nepal Life Capital Limited,Nepal Life Insurance Co. Ltd,"NPR 2,000,000,000",Close-Ended,2082-09-13 BS,2092-10-19 BS,10 yrs,NPR 10.00,"200,000,000 units",1097
PRSF,Prabhu Capital Limited,Prabhu Bank Limited,"NPR 1,000,000,000",Close-Ended,2079-09-19 BS,2088-11-30 BS,10 yrs,NPR 10.00,"100,000,000 units",881
PSF,Prabhu Capital Limited,Prabhu Bank Limited,"NPR 1,250,000,000",Close-Ended,2078-01-13 BS,2085-03-07 BS,7 yrs,NPR 10.00,"125,000,000 units",734
RBBF40,RBB Merchant Bank Ltd.,Rastriya Banijya Bank Limited,"NPR 1,250,000,000",Close- Ended,2082-04-23 BS,2094-05-18 BS,12 yrs,NPR 10.00,"125,000,000 units",1090
RMF1,RBB Merchant Bank Ltd.,Rastriya Banijya Bank Ltd,"NPR 1,250,000,000",Close-End Scheme,2078-03-10 BS,2085-04-08 BS,7 yrs,NPR 10.00,"125,000,000 units",736
