By Sectorwise,Amount,Sector wise,% of total Assets,cid
Commercial Banks,"151,267,704.00",23.92%,18.25%,885
Development Banks,"35,831,163.00",5.67%,4.32%,885
Hotels and Tourism,"21,531,279.00",3.40%,2.60%,885
Hydro Power,"109,196,332.00",17.27%,13.18%,885
Investment,"3,592,000.00",0.57%,0.43%,885
Life Insurance,"54,116,694.00",8.56%,6.53%,885
Manufacturing and Processing,"35,346,207.00",5.59%,4.26%,885
Microfinance,"44,804,000.00",7.08%,5.41%,885
Mutual Fund,"36,412,839.00",5.76%,4.39%,885
Non Life Insurance,"101,720,869.00",16.08%,12.27%,885
Others,"38,584,000.00",6.10%,4.66%,885
Commercial Banks,"232,445,265.00",18.18%,14.75%,1092
Development Banks,"81,783,090.00",6.40%,5.19%,1092
Hotels and Tourism,"114,211,113.00",8.93%,7.25%,1092
Hydro Power,"271,407,546.00",21.23%,17.23%,1092
Investment,"30,916,506.00",2.42%,1.96%,1092
Life Insurance,"156,323,364.00",12.23%,9.92%,1092
Manufacturing and Processing,"119,083,481.00",9.31%,7.56%,1092
Microfinance,"169,513,050.00",13.26%,10.76%,1092
Mutual Fund,"9,703,000.00",0.76%,0.62%,1092
Non Life Insurance,"45,910,224.00",3.59%,2.91%,1092
Others,"47,213,227.00",3.69%,3.00%,1092
Commercial Banks,"189,231,818.00",16.96%,14.87%,815
Development Banks,"43,618,784.00",3.91%,3.43%,815
Hotels and Tourism,"72,059,733.00",6.46%,5.66%,815
Hydro Power,"159,887,703.00",14.33%,12.56%,815
Investment,"18,918,531.00",1.70%,1.49%,815
Life Insurance,"125,058,910.00",11.21%,9.83%,815
Manufacturing and Processing,"100,683,625.00",9.02%,7.91%,815
Microfinance,"106,332,039.00",9.53%,8.36%,815
Mutual Fund,"91,447,749.00",8.20%,7.19%,815
Non Life Insurance,"148,776,316.00",13.33%,11.69%,815
Others,"59,781,229.00",5.36%,4.70%,815
Commercial Banks,"112,436,503.00",9.52%,8.23%,1049
Development Banks,"40,779,832.20",3.45%,2.98%,1049
Hotels and Tourism,"27,859,133.20",2.36%,2.04%,1049
Hydro Power,"362,827,801.30",30.71%,26.54%,1049
Investment,"140,369,772.80",11.88%,10.27%,1049
Life Insurance,"103,656,635.40",8.77%,7.58%,1049
Manufacturing and Processing,"165,517,596.10",14.01%,12.11%,1049
Microfinance,"35,774,041.20",3.03%,2.62%,1049
Mutual Fund,"16,300,882.38",1.38%,1.19%,1049
Non Life Insurance,"121,289,734.50",10.27%,8.87%,1049
Others,"54,758,434.20",4.63%,4.01%,1049
Commercial Banks,"192,695,504.90",19.97%,16.01%,729
Development Banks,"26,079,184.00",2.70%,2.17%,729
Hotels and Tourism,"2,599,558.70",0.27%,0.22%,729
Hydro Power,"74,531,164.30",7.72%,6.19%,729
Investment,"25,079,651.70",2.60%,2.08%,729
