Last Trade Price,Turnover *,Chg (% Chg),Volume,Trade Day Open,3M Avg Vol,Previous Close,Transaction *,120 Days VWAP,180 Days VWAP,O/S Shares,Market Cap,Beta (Daily),Dividend Yield,Var @ 5% 1M,Vol Wt Avg Price,% Below 52 Wk High,% Above 52 Wk Low,Trade Day Range,wk_52_range,cid
10.19,"19,068.00",0.19 (1.90%),"1,900",9.92,"35,395.11",10,5,10.07,9.92,"75,072,390","764,987,654.10",0.22,0.00%,-8.26%,10.03,11.72%,11.44%,9.92-10.19,8.70-10.71,885
10.2,"51,083.16",-0.04 (-0.39%),"5,009",10.24,"10,939.40",10.24,6,10.18,10.07,"56,000,000","571,200,000.00",0.4,0.00%,-6.62%,10.19,9.64%,18.40%,10.00-10.24,8.64-10.86,184
9.35,"16,081.00",0.04 (0.43%),"1,710",9.31,"17,351.95",9.31,15,9.5,9.5,"125,000,000","1,168,750,000.00",0.61,0.00%,-1.68%,9.4,0.00%,0.00%,9.31-9.50,8.87-10.00,1096
9.35,"123,790.00",0.00 (0.00%),"13,000",9.3,"5,021.84",9.35,20,9.46,9.33,"150,000,000","1,402,500,000.00",0.18,0.00%,-8.64%,9.52,0.00%,0.00%,9.21-9.80,8.50-10.18,1092
10.87,"214,647.50",-0.13 (-1.18%),"19,450",10.8,"52,828.42",11,28,11.07,10.91,"102,576,360","1,115,005,033.20",0.41,0.00%,-6.69%,11.03,1.39%,25.32%,10.80-11.15,9.30-11.68,815
9.99,"25,930.00",0.00 (0.00%),"2,600",9.99,"24,580.46",9.99,21,9.83,9.34,"125,000,000","1,248,750,000.00",0.27,0.00%,-6.19%,9.97,6.80%,5.90%,9.95-9.99,8.70-10.40,1049
12.25,"460,338.40",0.25 (2.08%),"37,450",11.75,"17,789.19",12,26,11.77,11.52,"10,000,000","122,500,000.00",0.14,0.00%,-6.84%,12.29,2.85%,27.29%,11.75-12.56,10.00-12.33,935
9,"219,455.50",0.10 (1.12%),"24,670",8.8,"15,950.37",8.9,22,10.37,10.3,0,0,0.6,0.00%,-7.00%,8.89,0.00%,0.00%,8.80-9.00,8.74-10.55,1091
11.51,"5,509,311.00",0.04 (0.35%),"477,100",11.47,"94,150.05",11.47,65,10.9,10.76,"122,507,259","1,410,058,551.09",0.49,0.00%,-7.66%,11.54,9.18%,17.39%,11.46-11.67,8.67-12.54,797
11,"2,917,153.90",0.01 (0.09%),"263,899",10.98,"61,414.05",10.99,33,10.39,10.2,"100,000,000","1,100,000,000.00",0.53,0.00%,-8.38%,11.05,13.10%,18.20%,10.98-11.15,8.31-11.30,729
9.83,"79,713.50",0.09 (0.92%),"8,050",9.74,"7,886.54",9.74,16,9.64,9.52,"74,475,070","732,089,938.10",0.5,0.00%,-8.21%,9.9,12.74%,18.11%,9.60-10.00,8.21-10.51,956
10.15,"68,089.00",-0.05 (-0.49%),"6,700",10.3,"5,892.96",10.2,7,9.91,9.66,"65,262,360","662,412,954.00",0.42,0.00%,-10.75%,10.16,1.05%,18.95%,10.15-10.34,8.97-11.97,598
10,"39,740.00",0.08 (0.81%),"3,900",10,"11,096.19",9.92,22,9.82,9.56,"80,000,000","800,000,000.00",0.33,0.00%,-10.09%,10.18,2.40%,23.78%,10.00-10.30,8.76-11.45,923
10.23,"1,238,694.00",0.20 (1.99%),"121,600",10,"80,639.65",10.03,17,10.23,10.09,"121,625,330","1,244,227,125.90",0.31,0.00%,-2.71%,10.18,11.08%,5.47%,10.00-10.25,8.59-10.80,1070
9.48,"150,287.59",-0.07 (-0.73%),"15,997",9.32,"34,576.82",9.55,32,9.42,9.27,"125,000,000","1,185,000,000.00",0.41,0.00%,-5.46%,9.39,6.27%,26.35%,9.32-9.60,8.22-10.16,764
10.01,"302,404.70",0.21 (2.14%),"30,730",9.73,"53,052.61",9.8,27,9.97,9.55,"125,000,000","1,251,250,000.00",0.34,0.00%,-3.71%,9.84,10.36%,7.72%,9.73-10.03,8.53-10.40,982
10.19,"679,690.90",0.19 (1.90%),"66,915",10,"24,990.26",10,15,9.99,9.73,"112,000,000","1,141,280,000.00",0.45,0.00%,-6.51%,10.15,5.07%,15.97%,9.73-10.19,8.89-11.10,188
9.98,"79,957.50",0.00 (0.00%),"8,050",9.98,"38,049.39",9.98,21,9.83,9.63,"125,000,000","1,247,500,000.00",0.57,0.00%,-7.54%,9.93,3.73%,34.67%,9.90-9.98,8.35-10.67,768
9.32,"29,822.00",-0.18 (-1.89%),"3,150",9.78,"25,569.51",9.5,12,9.69,9.55,"132,000,000","1,230,240,000.00",0.29,0.00%,-6.32%,9.46,14.19%,16.45%,9.31-9.78,8.24-11.81,849
9.33,"34,995.60",-0.01 (-0.11%),"3,810",9.16,"23,517.69",9.34,18,9.18,9.04,"113,000,000","1,054,290,000.00",0.3,0.00%,-4.36%,9.18,16.01%,12.86%,9.16-9.34,7.95-10.85,954
9.58,"56,117.00",0.12 (1.27%),"5,950",9.19,"22,556.88",9.46,12,9.5,9.29,"150,000,000","1,437,000,000.00",0.4,0.00%,-6.55%,9.43,9.27%,13.85%,9.19-9.60,8.10-11.13,728
