Current_Price,Price_change/price_change_%,Weekly NAV,Trade_Day_Range,Volume,180 Days Avg Price,52 Weeks Range,time_stamps,Company_id
10.19,0.19 (1.90%),10.76,9.92 - 10.19,"1,900",9.77,8.70 - 10.71,"As of Wednesday, 27 May 2026 03:00 PM",885
10.2,-0.04 (-0.39%),10.19,10.00 - 10.24,"5,009",9.88,8.64 - 10.86,"As of Wednesday, 27 May 2026 03:00 PM",184
9.35,0.04 (0.43%),9.81,9.31 - 9.50,"1,710",9.42,8.87 - 10.00,"As of Wednesday, 27 May 2026 03:00 PM",1096
9.35,0.00 (0.00%),10.23,9.21 - 9.80,"13,000",9.3,8.50 - 10.18,"As of Wednesday, 27 May 2026 03:00 PM",1092
10.87,-0.13 (-1.18%),12,10.80 - 11.15,"19,450",10.72,9.30 - 11.68,"As of Wednesday, 27 May 2026 03:00 PM",815
9.99,0.00 (0.00%),10.47,9.95 - 9.99,"2,600",9.56,8.70 - 10.40,"As of Wednesday, 27 May 2026 03:00 PM",1049
12.25,0.25 (2.08%),12.64,11.75 - 12.56,"37,450",11.47,10.00 - 12.33,"As of Wednesday, 27 May 2026 03:00 PM",935
9,0.10 (1.12%),8.85,8.80 - 9.00,"24,670",9.26,8.74 - 10.55,"As of Wednesday, 27 May 2026 03:00 PM",1091
11.51,0.04 (0.35%),12.9,11.46 - 11.67,"477,100",10.44,8.67 - 12.54,"As of Wednesday, 27 May 2026 03:00 PM",797
11,0.01 (0.09%),12.04,10.98 - 11.15,"263,899",9.82,8.31 - 11.30,"As of Wednesday, 27 May 2026 03:00 PM",729
9.83,0.09 (0.92%),10.56,9.60 - 10.00,"8,050",9.39,8.21 - 10.51,"As of Wednesday, 27 May 2026 03:00 PM",956
10.15,-0.05 (-0.49%),10.45,10.15 - 10.34,"6,700",9.76,8.97 - 11.97,"As of Wednesday, 27 May 2026 03:00 PM",598
10,0.08 (0.81%),10.33,10.00 - 10.30,"3,900",9.63,8.76 - 11.45,"As of Wednesday, 27 May 2026 03:00 PM",923
10.23,0.20 (1.99%),11.07,10.00 - 10.25,"121,600",9.92,8.59 - 10.80,"As of Wednesday, 27 May 2026 03:00 PM",1070
9.48,-0.07 (-0.73%),9.76,9.32 - 9.60,"15,997",9.2,8.22 - 10.16,"As of Wednesday, 27 May 2026 03:00 PM",764
10.01,0.21 (2.14%),10.64,9.73 - 10.03,"30,730",9.55,8.53 - 10.40,"As of Wednesday, 27 May 2026 03:00 PM",982
10.19,0.19 (1.90%),10.42,9.73 - 10.19,"66,915",9.77,8.89 - 11.10,"As of Wednesday, 27 May 2026 03:00 PM",188
9.98,0.00 (0.00%),10.41,9.90 - 9.98,"8,050",9.58,8.35 - 10.67,"As of Wednesday, 27 May 2026 03:00 PM",768
9.32,-0.18 (-1.89%),9.96,9.31 - 9.78,"3,150",9.28,8.24 - 11.81,"As of Wednesday, 27 May 2026 03:00 PM",849
9.33,-0.01 (-0.11%),9.79,9.16 - 9.34,"3,810",9.03,7.95 - 10.85,"As of Wednesday, 27 May 2026 03:00 PM",954
9.58,0.12 (1.27%),9.9,9.19 - 9.60,"5,950",9.1,8.10 - 11.13,"As of Wednesday, 27 May 2026 03:00 PM",728
9.7,-0.05 (-0.51%),10.29,9.70 - 9.80,"5,365",9.47,8.45 - 11.20,"As of Wednesday, 27 May 2026 03:00 PM",192
9.59,0.04 (0.42%),10.28,9.32 - 9.59,"12,400",9.21,8.37 - 10.40,"As of Wednesday, 27 May 2026 03:00 PM",798
9.72,0.03 (0.31%),10.34,9.28 - 9.80,"1,600",9.29,8.33 - 10.03,"As of Wednesday, 27 May 2026 03:00 PM",949
9.32,0.02 (0.22%),9.67,9.07 - 9.34,"4,925",9.09,8.04 - 9.99,"As of Wednesday, 27 May 2026 03:00 PM",735
10.84,0.00 (0.00%),10.54,10.57 - 10.84,600,10.42,9.75 - 11.93,"As of Wednesday, 27 May 2026 03:00 PM",597
9.64,0.00 (0.00%),10.57,9.60 - 9.88,"155,600",9.51,8.21 - 10.20,"As of Wednesday, 27 May 2026 03:00 PM",1066
10.83,0.11 (1.03%),11.84,10.71 - 10.90,"143,680",10.64,9.75 - 11.93,"As of Wednesday, 27 May 2026 03:00 PM",824
9.69,0.16 (1.68%),9.78,9.46 - 9.70,"5,000",9.63,9.06 - 10.19,"As of Wednesday, 27 May 2026 03:00 PM",1097
13.05,0.13 (1.01%),14.85,12.92 - 13.05,"149,815",11.71,9.85 - 13.61,"As of Wednesday, 27 May 2026 03:00 PM",881
12.54,0.24 (1.95%),13.71,12.30 - 12.54,"14,250",11.42,9.91 - 13.00,"As of Wednesday, 27 May 2026 03:00 PM",734
9.61,0.30 (3.22%),10.12,9.30 - 9.85,"10,000",9.51,8.98 - 10.20,"As of Wednesday, 27 May 2026 03:00 PM",1090
9.85,-0.20 (-1.99%),10.4,9.70 - 10.01,"14,610",9.57,8.65 - 11.40,"As of Wednesday, 27 May 2026 03:00 PM",736
10.4,0.30 (2.97%),10.03,9.81 - 10.40,900,9.87,8.78 - 10.71,"As of Wednesday, 27 May 2026 03:00 PM",884
10.22,-0.18 (-1.73%),11.4,10.15 - 10.43,"38,847",9.88,8.58 - 10.70,"As of Wednesday, 27 May 2026 03:00 PM",1072
10.2,0.00 (0.00%),10.77,10.20 - 10.20,"3,300",9.96,8.79 - 11.31,"As of Wednesday, 27 May 2026 03:00 PM",833
9.83,-0.15 (-1.50%),10.08,9.77 - 9.85,"7,450",9.52,8.82 - 12.03,"As of Wednesday, 27 May 2026 03:00 PM",720
10.2,0.01 (0.10%),10.66,10.20 - 10.30,"57,000",9.77,8.60 - 11.53,"As of Wednesday, 27 May 2026 03:00 PM",197
10.2,0.19 (1.90%),10.46,10.12 - 10.20,900,10.31,9.40 - 11.74,"As of Tuesday, 26 May 2026 03:00 PM",200
10.71,-0.11 (-1.02%),11.24,10.70 - 10.90,"23,015",9.96,8.90 - 11.70,"As of Wednesday, 27 May 2026 03:00 PM",199
11.2,0.09 (0.81%),11.9,11.00 - 11.20,"29,832",10.25,8.50 - 11.46,"As of Wednesday, 27 May 2026 03:00 PM",878
10.17,0.12 (1.19%),10.34,10.05 - 10.19,"30,400",9.64,8.60 - 11.99,"As of Wednesday, 27 May 2026 03:00 PM",629
