id,season,date,time,venue,stage,city,team_1,team_2,toss_winner,toss_decision,result,dls_applied,super_over,winner,team_1_runs,team_2_runs,team_1_overs_played,team_2_overs_played,team_1_wickets,team_2_wickets,team_1_runs_from_extra,team_2_runs_from_extra,win_by_runs,win_by_wickets,player_of_the_match,over_balls,extra_balls,total_ball_bowled
1,2024,2024-11-30,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Biratnagar Kings,Janakpur Bolts,Janakpur Bolts,field,normal,0,0,Janakpur Bolts,127,131,19,15.3,10,2,15,22,0,8,Lahiru Milantha,207,17,224
2,2024,2024-12-02,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Kathmandu Gorkhas,Chitwan Rhinos,Chitwan Rhinos,field,normal,0,0,Chitwan Rhinos,111,114,20,17.1,9,5,8,12,0,5,Sohail Tanvir,223,5,228
3,2024,2024-12-02,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Karnali Yaks,Janakpur Bolts,Karnali Yaks,bat,normal,0,0,Janakpur Bolts,141,142,20,15.1,7,2,8,4,0,8,Anil Sah,211,11,222
4,2024,2024-12-03,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Sudurpaschim Royals,Biratnagar Kings,Biratnagar Kings,field,normal,0,0,Sudurpaschim Royals,182,92,20,16.1,7,10,7,7,90,0,Dipendra Singh Airee,217,9,226
5,2024,2024-12-03,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Chitwan Rhinos,Pokhara Avengers,Pokhara Avengers,field,normal,0,0,Chitwan Rhinos,161,74,20,13.2,7,10,5,11,87,0,Rijan Dhakal,200,9,209
6,2024,2024-12-04,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Karnali Yaks,Kathmandu Gorkhas,Kathmandu Gorkhas,field,normal,0,0,Kathmandu Gorkhas,149,153,20,19.3,5,7,13,7,0,3,Sumit Maharjan,237,12,249
7,2024,2024-12-04,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Lumbini Lions,Biratnagar Kings,Biratnagar Kings,field,normal,0,0,Biratnagar Kings,191,193,20,19.5,7,8,29,20,0,2,Lokesh Bam,239,16,255
8,2024,2024-12-05,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Pokhara Avengers,Janakpur Bolts,Janakpur Bolts,field,normal,0,0,Janakpur Bolts,138,143,20,17.1,7,3,8,11,0,7,James Neesham,223,10,233
9,2024,2024-12-05,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Sudurpaschim Royals,Kathmandu Gorkhas,Kathmandu Gorkhas,field,normal,0,0,Sudurpaschim Royals,167,94,20,15.5,6,10,10,2,73,0,Naren Saud,215,7,222
10,2024,2024-12-06,Day,"Tribhuvan University International Cricket Ground, Kirtipur",League,Kathmandu,Chitwan Rhinos,Karnali Yaks,Karnali Yaks,field,normal,0,0,Karnali Yaks,130,132,20,19.5,7,4,5,9,0,6,Bipin Sharma,239,9,248
