sector,2026/06/08,2026/06/09,2026/06/10,2026/06/11,2026/06/12
Banking,-0.45%,0%,0%,-0.25%,-0.12%
Development Banks,-0.98%,-0.06%,0.21%,-0.51%,-0.13%
Finance,0.26%,-1.01%,0.08%,-1.45%,-0.38%
Hotels And Tourism,-0.71%,0.13%,0.54%,0.47%,-0.42%
Hydropower,-0.95%,0.01%,0.65%,-0.18%,-0.25%
Investment,-0.38%,-0.12%,-0.08%,-0.2%,-0.03%
Life Insurance,-0.54%,-0.37%,-0.32%,-0.21%,-0.19%
Manu.and.Pro,-0.44%,0.26%,0.18%,0.26%,-0.49%
Microfinance,-0.52%,-0.18%,0%,-0.28%,-0.38%
Mutual Fund,-0.59%,-0.15%,0.01%,-0.2%,0.38%
Non-Life Insurance,-0.83%,-0.41%,-0.24%,-0.17%,0.35%
Others,-1.49%,0.29%,-0.03%,-0.91%,0.18%
Trading,-1.77%,-0.38%,-0.43%,-1.23%,0.37%
